no,names(schools_subset),revised_headers,
1,ward_imp,ward,
2,location_imp,location,
3,school_name_imp,school_name,
4,school_code_imp,school_code,
5,vdc_label_imp,vdc_label,
6,kg_imp,kg_flag_multi,1
7,prim_imp,prim_flag_multi,1
8,lowsec_imp,lowsec_flag_multi,1
9,sec_imp,sec_flag_multi,1
10,high_sec_imp,highsec_flag_multi,1
11,high_ed_imp,highed_flag_multi,1
12,general_detail.general_detail_1.number_student_imp,no_students_total,1
13,general_detail.general_detail_1.number_pupils_girls_imp,no_students_girls,1
14,general_detail.general_detail_1.number_pupils_boys_imp,no_students_boys,1
15,general_detail.general_detail_2.number_staff_female_imp,no_staff_female,1
16,general_detail.general_detail_2.number_staff_male_imp,no_staff_male,1
17,general_detail.general_detail_3.maintenance_committee_imp,maintenance_committee_flag,1
18,general_detail.general_detail_3.maintenance_fund_available_imp,maintenance_fund_flag,1
19,general_detail._gps_coordinates_latitude_imp,lat,1
20,general_detail._gps_coordinates_longitude_imp,long,1
21,general_detail._gps_coordinates_altitude_imp,elev,1
22,general_detail._gps_coordinates_precision_imp,precision,1
23,exposure.building_material.unfired_brick_imp,material_unfired_brick_multi,1
24,exposure.building_material.fired_brick_imp,material_fired_brick_multi,1
25,exposure.building_material.stone_imp,material_stome_multi,1
26,exposure.building_material.timber_imp,material_timber_multi,1
27,exposure.building_material.bamboo_imp,material_bamboo_multi,1
28,exposure.building_material.other_imp,material_other_multi,1
29,exposure.exposure_1.travel_time_to_building_material.on_foot_building_material_imp,tt_bm_on_foot,1
30,exposure.exposure_1.travel_time_to_building_material.motorbike_building_material_imp,tt_bm_motorbike,1
31,exposure.exposure_1.travel_time_to_building_material.car_building_material_imp,tt_bm_car,1
32,exposure.exposure_1.travel_time_to_building_material.truck_building_material_imp,tt_bm_truck,1
33,exposure.exposure_1.travel_time_to_building_material.other_1_imp,tt_bm_other,‘---
34,exposure.exposure_1.travel_time_to_building_material.comment_travel_time_to_major_town_imp,tt_majortown_on_foot_comment,‘---
35,exposure.exposure_2.travel_time_to_major_town.on_foot_travel_time_to_major_town_imp,tt_majortown_on_foot,1
